ORDER OF TOUR
X : 87.951292 ; Y : 2.658162
X : 77.309488 ; Y : 4.168828
X : 77.06534 ; Y : 13.657033
X : 72.743919 ; Y : 16.071047
X : 69.411298 ; Y : 10.12299
X : 69.045076 ; Y : 0.952177
X : 62.129582 ; Y : 6.18305
X : 52.903836 ; Y : 7.309183
X : 56.382946 ; Y : 11.935789
X : 71.395001 ; Y : 16.754662
X : 62.181463 ; Y : 28.403577
X : 51.658681 ; Y : 33.808405
X : 49.781793 ; Y : 33.58562
X : 41.059603 ; Y : 32.578509
X : 40.879543 ; Y : 32.523576
X : 50.376904 ; Y : 42.796106
X : 43.232521 ; Y : 43.571276
X : 39.71984 ; Y : 46.403394
X : 44.563128 ; Y : 47.541734
X : 37.80633 ; Y : 50.599689
X : 34.156316 ; Y : 49.113437
X : 22.656941 ; Y : 52.076785
X : 20.526749 ; Y : 47.63329
X : 14.145329 ; Y : 40.690329
X : 18.494217 ; Y : 31.971191
X : 19.064913 ; Y : 27.845088
X : 9.961241 ; Y : 20.337535
X : 16.052736 ; Y : 11.899167
X : 5.371258 ; Y : 3.466903
X : 20.03235 ; Y : 2.761925
X : 23.258156 ; Y : 5.346843
X : 24.509415 ; Y : 4.898221
X : 27.466659 ; Y : 1.394696
X : 40.147099 ; Y : 4.345836
X : 28.879666 ; Y : 27.948851
X : 27.005829 ; Y : 40.08301
X : 11.471908 ; Y : 44.18775
X : 10.895108 ; Y : 44.978179
X : 4.153569 ; Y : 41.981262
X : 4.409925 ; Y : 36.637471
X : 30.283517 ; Y : 60.740989
X : 33.466597 ; Y : 66.682943
X : 31.351665 ; Y : 67.159032
X : 28.186895 ; Y : 70.415357
X : 23.563341 ; Y : 66.295358
X : 20.160527 ; Y : 67.23838
X : 11.713004 ; Y : 65.706351
X : 20.822779 ; Y : 81.447798
X : 14.648885 ; Y : 88.753929
X : 13.583789 ; Y : 96.127201
X : 18.692587 ; Y : 97.01529
X : 22.730186 ; Y : 99.725333
X : 31.730094 ; Y : 98.501541
X : 40.730003 ; Y : 98.40083
X : 35.721915 ; Y : 87.408063
X : 41.422773 ; Y : 81.743828
X : 10.129093 ; Y : 91.378521
X : 5.746635 ; Y : 94.280831
X : 4.153569 ; Y : 87.118137
X : 9.006012 ; Y : 81.185339
X : 8.908353 ; Y : 80.703146
X : 26.963103 ; Y : 73.021638
X : 38.999603 ; Y : 68.407239
X : 43.992431 ; Y : 59.556871
X : 54.347362 ; Y : 47.959838
X : 61.522263 ; Y : 46.504105
X : 56.904813 ; Y : 42.152165
X : 63.026826 ; Y : 33.359783
X : 70.278024 ; Y : 40.021973
X : 71.285134 ; Y : 43.671987
X : 76.604511 ; Y : 36.146123
X : 77.18131 ; Y : 31.922361
X : 77.556688 ; Y : 30.884732
X : 82.680746 ; Y : 31.058687
X : 87.939085 ; Y : 36.567278
X : 91.595202 ; Y : 40.324107
X : 97.985778 ; Y : 44.746239
X : 91.778314 ; Y : 53.807184
X : 85.290078 ; Y : 60.875271
X : 85.201575 ; Y : 71.837519
X : 99.078341 ; Y : 81.115146
X : 73.79986 ; Y : 61.076693
X : 71.483505 ; Y : 61.964782
X : 66.258736 ; Y : 70.360424
X : 67.326884 ; Y : 81.20365
X : 68.926054 ; Y : 82.073428
X : 77.19657 ; Y : 88.503677
X : 79.02768 ; Y : 95.034639
X : 83.404035 ; Y : 89.590136
X : 59.797967 ; Y : 84.215827
X : 58.751183 ; Y : 87.429426
X : 61.546678 ; Y : 97.531053
X : 59.254738 ; Y : 81.20365
X : 61.156041 ; Y : 69.313639
X : 82.845546 ; Y : 48.3932
X : 80.028687 ; Y : 51.258889
X : 88.995025 ; Y : 35.560167
X : 72.331919 ; Y : 22.14423
X : 85.076449 ; Y : 17.029328
X : 93.386639 ; Y : 12.457656
